,ID,SleeveLength,LowerClothingLength,Hat,WaistAccessories,Neckline,Cardigan,CoveringNavel,UpperF,LowerF,OuterF,UpperP,LowerP,OuterP,Gender
68,00005724-01,3,3,0,3,4,1,1,1,0,7,3,3,7,0
69,00005769-02,3,3,0,3,2,0,1,1,0,1,3,3,3,0
70,00005826-01,1,3,0,3,4,1,1,1,1,7,3,3,7,0
71,00005887-01,1,3,0,3,2,1,1,1,1,7,3,3,7,0
72,00005887-02,1,3,0,3,2,1,1,1,0,7,3,3,7,0
73,00005887-03,1,3,0,3,2,1,1,1,0,7,3,4,7,0
74,00006034-01,3,3,2,3,2,0,1,1,0,0,3,3,3,0
75,00006106-01,3,3,0,3,2,1,1,1,0,7,5,4,7,0
76,00006117-01,1,3,2,3,4,1,1,1,1,7,4,3,7,0
77,00006359-01,3,3,0,3,2,0,1,1,0,0,3,4,5,0
78,00006407-01,2,3,0,3,3,1,1,1,0,7,3,3,7,0
79,00006407-02,1,3,0,0,2,1,1,1,0,7,3,3,7,0
80,00006407-03,1,3,0,3,2,1,1,1,1,7,1,4,7,0
81,00006439-01,1,3,0,3,2,1,1,1,0,7,3,3,7,0
82,00006465-01,1,3,1,3,2,1,1,1,0,7,3,4,7,0
83,00006841-01,1,3,0,0,2,1,1,1,0,7,1,3,7,0
84,00006959-01,2,3,0,3,4,1,1,0,0,7,3,4,7,0
85,00007216-01,1,3,0,3,2,1,1,1,0,7,3,3,7,0
86,00007297-01,2,3,0,3,4,1,1,0,1,7,3,3,7,0
87,00007300-01,2,3,0,3,2,0,1,1,1,0,2,3,3,0
88,00007524-01,0,3,0,3,0,1,1,1,0,7,1,5,7,0
89,00007570-01,3,3,0,3,4,1,1,1,0,7,6,3,7,0
90,00007607-01,3,3,0,3,2,1,1,1,0,7,3,4,7,0
91,00000084-04,3,4,0,3,2,0,1,1,1,1,3,3,6,0
92,00000084-05,3,4,0,3,2,0,1,1,0,1,3,3,6,0
93,00000084-07,3,4,0,3,2,1,1,1,1,7,3,4,6,0
94,00000084-08,3,4,0,3,2,1,1,1,1,7,3,3,6,0
95,00000094-01,3,4,0,3,4,1,1,1,1,1,1,3,3,0
96,00000094-02,3,4,0,3,4,1,1,1,1,1,3,3,3,0
97,00000094-04,3,4,0,3,4,1,1,1,1,1,3,3,3,0
98,00000168-01,3,4,0,3,6,1,1,1,1,1,3,3,3,0
99,00000168-02,3,4,0,3,2,0,1,1,1,1,2,3,3,0
100,00000168-03,3,4,0,3,2,1,1,7,1,1,7,3,3,0
101,00000393-01,3,4,0,3,2,0,1,1,1,1,4,3,3,0
102,00000653-01,3,4,1,3,6,1,1,1,1,1,3,4,3,0
103,00000653-02,3,4,1,3,4,0,1,1,0,1,3,3,3,0
104,00000653-04,3,4,1,1,4,0,1,1,0,1,3,4,3,0
105,00000716-03,3,4,0,3,4,0,1,1,0,0,3,3,6,0
106,00000716-04,3,4,0,2,2,0,1,1,1,0,3,3,6,0
107,00000716-07,3,4,0,3,4,1,1,1,1,0,3,3,6,0
108,00000763-01,3,4,0,3,2,1,1,1,0,1,3,3,1,0
109,00000946-04,3,4,0,3,2,0,1,1,1,1,3,3,3,0
110,00001291-01,3,4,0,3,4,0,1,1,1,0,4,3,3,0
111,00001875-01,3,4,0,3,4,1,1,1,1,1,3,3,3,0
112,00001875-03,3,4,0,1,4,1,1,1,1,1,3,3,3,0
113,00001903-01,3,4,0,1,4,1,1,1,1,7,3,3,7,0
114,00001903-03,3,4,0,1,4,1,1,1,1,7,3,3,7,0
115,00002173-04,3,4,0,3,2,0,1,1,1,1,3,3,3,0
116,00002268-01,3,4,0,3,3,1,1,1,1,1,3,3,3,0
117,00002375-01,3,4,1,3,2,1,1,2,0,2,3,3,3,0
118,00002439-01,1,4,0,3,2,0,1,1,1,1,3,3,3,0
119,00002439-02,3,4,0,3,4,1,1,1,1,1,3,3,3,0
120,00002439-04,3,4,0,3,4,1,1,1,1,1,3,3,3,0
121,00002446-01,3,4,0,3,3,1,1,0,0,1,3,3,3,0
122,00002446-04,3,4,0,3,2,0,1,1,0,1,3,3,3,0
123,00002446-05,3,4,0,3,6,0,1,1,0,1,3,3,3,0
124,00002754-01,3,4,0,3,2,0,1,1,0,1,2,3,3,0
125,00002958-04,3,4,1,3,4,0,1,1,1,1,4,3,3,0
126,00003311-01,3,4,0,3,6,0,1,2,0,2,3,3,3,0
127,00003336-05,3,4,0,3,2,0,1,1,0,1,3,3,3,0
128,00003336-06,3,4,0,3,2,1,1,1,1,1,3,3,3,0
129,00003336-07,3,4,0,3,2,1,1,1,1,1,3,3,3,0
130,00003336-08,3,4,1,3,2,1,1,1,1,1,3,3,3,0
131,00003336-09,3,4,0,3,6,1,1,1,1,1,3,3,3,0
132,00003336-10,3,4,0,3,2,1,1,1,0,1,3,3,3,0
133,00004014-01,3,4,2,3,2,0,1,1,0,1,3,3,3,0
134,00004014-02,3,4,2,3,2,0,1,1,0,1,3,3,3,0
135,00004014-03,3,4,2,3,2,0,1,1,0,1,3,3,3,0
136,00004235-01,3,4,1,3,2,0,1,1,0,2,3,4,3,0
137,00004319-01,3,4,0,3,4,0,1,2,0,2,3,3,3,0
138,00004319-03,3,4,2,3,2,0,1,1,0,2,3,3,3,0
139,00004328-01,3,4,2,3,2,0,1,1,0,1,3,3,3,0
140,00004328-02,3,4,2,3,2,0,1,1,0,1,3,3,3,0
141,00004328-03,3,4,2,3,2,0,1,1,0,1,3,3,3,0
142,00004606-01,3,4,0,3,2,0,1,1,0,2,3,3,5,0
143,00004622-01,3,4,0,0,2,0,1,1,1,2,3,3,5,0
144,00004672-01,3,4,0,0,2,0,1,1,0,2,3,3,3,0
145,00004882-01,3,4,1,3,6,1,1,1,0,1,3,3,3,0
146,00004882-02,3,4,1,3,6,1,1,1,0,1,3,3,3,0
147,00005047-01,3,4,1,3,2,0,1,0,0,0,3,3,3,0
148,00005097-04,3,4,0,3,2,0,1,1,0,1,3,3,3,0
149,00005097-05,3,4,0,3,2,0,1,1,0,1,3,3,3,0
150,00005097-07,3,4,0,1,4,0,1,1,0,1,4,3,3,0
151,00005097-08,3,4,0,3,2,0,1,1,0,1,3,3,3,0
152,00005346-01,3,4,0,3,2,0,1,1,0,0,3,3,3,0
153,00005451-01,3,4,0,3,2,0,1,1,0,2,4,3,3,0
154,00005528-06,3,4,0,0,4,0,1,4,0,1,3,3,3,0
155,00005528-08,3,4,0,0,4,1,1,1,0,1,3,3,3,0
156,00005528-09,3,4,0,3,4,1,1,1,0,1,3,3,3,0
157,00005597-01,3,4,0,3,6,1,1,1,0,1,3,3,3,0
158,00005943-01,3,4,1,3,4,0,1,1,0,1,3,3,3,0
159,00005943-07,3,4,0,3,4,0,1,1,0,1,3,3,3,0
160,00005943-08,3,4,1,3,4,0,1,0,0,0,3,3,3,0
161,00005943-09,3,4,1,3,4,0,1,0,0,0,3,3,3,0
162,00006299-01,3,4,1,3,4,1,1,1,0,2,3,3,3,0
163,00006299-02,3,4,0,3,4,0,1,1,0,2,1,3,6,0
164,00006299-03,3,4,0,3,4,1,1,7,0,2,3,3,6,0
165,00006344-01,3,4,0,3,6,0,1,1,1,1,3,3,1,0
166,00006736-01,3,4,1,3,6,0,1,1,0,0,4,3,3,0
167,00006912-06,3,4,0,3,2,0,1,1,1,1,3,3,3,0
168,00006912-08,3,4,0,3,2,0,1,1,1,1,3,3,3,0
169,00006912-09,3,4,0,3,2,0,1,1,1,1,3,3,3,0
170,00006915-01,3,4,0,3,4,0,1,1,1,1,3,3,5,0
171,00007247-01,3,4,0,3,2,0,1,1,0,0,1,3,3,0
172,00007272-01,3,4,0,3,6,1,1,7,1,1,7,3,1,0
173,00007324-01,3,4,0,3,2,1,1,1,0,2,3,3,6,0
174,00007324-03,3,4,0,3,2,0,1,1,0,2,3,3,6,0
175,00007564-01,3,4,1,3,2,1,1,1,1,1,3,3,3,0
176,00007564-03,3,4,0,3,4,0,1,1,0,1,4,3,3,0
177,00007569-01,3,4,0,3,2,1,1,1,1,1,3,3,3,0
178,00007569-03,3,4,0,3,2,1,1,1,0,1,3,3,3,0
179,00007569-04,3,4,0,3,2,1,1,1,1,1,3,3,3,0
180,00007583-01,3,4,0,3,2,1,1,1,0,1,3,3,3,0
181,00007583-02,3,4,0,3,4,1,1,1,0,1,4,3,3,0
182,00007583-03,3,4,0,3,4,0,1,1,0,1,3,3,3,0
183,00007800-01,3,4,0,0,2,0,1,1,1,1,3,3,3,0
184,00007818-01,3,4,0,3,6,1,1,7,1,1,7,3,1,0
185,00000063-02,1,3,1,0,2,1,1,1,1,7,3,3,7,0
186,00000114-01,1,3,0,3,4,1,1,1,1,7,3,3,7,0
187,00000114-03,1,3,0,3,4,1,1,1,1,7,3,3,7,0
188,00000114-06,1,3,0,3,4,1,1,1,1,7,3,3,7,0
189,00000114-07,1,3,0,3,4,1,1,1,1,7,3,3,7,0
190,00000114-08,3,3,0,3,4,1,1,1,1,7,3,3,7,0
191,00000114-09,1,3,0,3,4,1,1,1,1,7,3,3,7,0
192,00000143-02,1,3,0,0,2,1,1,1,1,7,3,1,7,0
193,00000256-02,0,3,2,3,2,1,1,1,1,7,1,3,7,0
194,00000256-03,3,3,0,3,2,0,1,1,1,1,3,3,3,0
195,00000273-01,1,3,0,3,2,1,1,1,1,7,3,3,7,0
196,00000290-04,3,3,0,3,4,1,1,1,1,7,3,1,7,0
197,00000290-05,3,3,0,3,4,1,1,1,1,7,3,1,7,0
198,00000290-06,3,3,0,3,4,1,1,1,1,7,3,1,7,0
199,00000290-07,3,3,0,3,4,1,1,1,1,7,3,1,7,0
200,00000375-01,1,3,0,3,2,1,1,1,1,7,3,1,7,0
201,00000470-01,3,3,0,0,6,1,1,7,1,1,7,3,6,0
202,00000470-03,3,2,0,3,2,1,1,1,1,7,3,3,7,0
203,00000482-01,3,3,0,0,4,1,1,1,1,1,3,0,0,0
204,00000494-01,3,3,1,0,4,0,1,1,1,1,3,3,3,0
205,00000494-04,3,3,2,4,6,0,1,1,1,0,1,3,3,0
206,00000785-01,1,3,0,3,2,1,1,1,1,7,3,1,7,0
207,00000836-02,3,3,0,3,2,0,1,1,1,1,2,3,3,0
208,00000836-03,3,3,0,1,4,1,1,1,1,7,3,3,7,0
209,00000836-04,1,3,2,3,6,2,2,1,1,7,3,3,7,0
210,00000844-01,1,3,0,3,0,1,1,1,1,7,3,1,7,0
211,00000893-01,3,3,0,3,2,0,1,1,1,2,3,3,3,0
212,00001092-02,0,3,0,3,2,1,1,1,1,7,3,3,7,0
213,00001092-03,1,3,0,3,2,1,1,1,1,7,3,3,7,0
214,00001098-02,1,3,0,3,2,1,1,1,1,7,3,3,7,0
215,00001104-01,1,3,0,3,2,1,1,1,1,7,3,3,7,0
216,00001104-03,1,3,0,3,2,1,1,1,1,7,3,3,7,0
217,00001105-01,3,3,0,3,3,1,1,1,1,7,3,3,7,0
218,00001105-02,3,3,1,3,2,1,1,1,1,7,3,3,7,0
219,00001105-04,3,3,1,3,4,1,1,1,1,7,3,3,7,0
220,00001207-05,3,3,0,3,2,0,1,1,1,2,3,3,3,0
221,00001207-06,3,3,0,3,3,1,1,1,1,7,3,3,7,0
222,00001207-07,3,3,0,0,2,0,1,1,1,0,3,3,3,0
223,00001287-02,1,3,0,3,2,1,1,1,1,7,3,1,7,0
224,00001292-01,3,3,0,3,2,0,1,1,1,1,5,6,3,0
225,00001351-01,1,3,0,0,2,1,1,1,1,7,3,1,7,0
226,00001375-01,0,3,0,3,2,1,1,1,1,7,6,3,7,0
227,00001375-03,3,3,0,3,2,1,1,1,1,1,3,3,3,0
228,00001468-03,1,3,0,3,4,1,1,1,1,7,3,3,7,0
229,00001468-04,1,3,0,3,4,1,1,1,1,7,3,3,7,0
230,00001510-01,3,3,0,0,2,0,1,1,1,0,3,3,3,0
231,00001510-02,3,3,0,0,6,1,1,1,1,1,3,3,4,0
232,00001510-03,3,3,0,0,2,0,1,1,1,0,3,3,3,0
233,00001510-04,3,3,0,0,2,0,1,1,1,0,3,3,3,0
234,00001510-05,3,3,0,0,2,0,1,1,1,0,3,3,3,0
235,00001560-01,1,3,1,3,2,1,1,1,1,7,6,3,7,0
236,00001573-01,0,3,0,3,2,1,1,1,1,7,3,6,7,0
237,00001591-01,0,2,0,3,2,1,1,1,1,7,3,1,7,0
238,00001611-01,1,3,1,3,2,1,1,1,1,7,3,1,7,0
239,00001617-01,3,3,1,0,2,0,1,1,1,1,3,3,3,0
240,00001675-01,0,3,0,3,2,1,1,1,1,7,3,3,7,0
241,00001763-01,1,3,0,3,2,1,1,1,1,7,3,3,7,0
242,00001814-01,3,3,0,3,2,0,1,1,1,1,3,3,3,0
243,00001814-02,1,3,0,3,2,1,1,1,1,7,3,6,7,0
244,00002006-04,3,3,1,3,4,1,1,1,1,7,3,3,7,0
245,00002006-05,3,3,1,3,4,1,1,1,1,7,3,3,7,0
246,00002006-06,3,3,1,3,4,1,1,1,1,7,3,3,7,0
247,00002006-07,3,3,1,3,4,1,1,1,1,7,3,3,7,0
248,00002006-08,3,3,1,3,4,1,1,1,1,7,3,3,7,0
249,00002047-01,1,3,0,3,4,1,1,1,1,7,3,1,7,0
250,00002055-01,1,3,0,3,2,1,1,1,1,7,3,1,7,0
251,00002236-01,1,3,0,3,2,1,1,1,1,7,3,6,7,0
252,00002295-01,1,3,0,3,2,1,1,1,1,7,3,3,7,0
253,00002295-03,3,3,0,3,2,1,1,1,1,7,3,3,7,0
254,00002493-01,3,3,0,3,2,1,1,1,1,7,3,3,7,0
255,00002493-02,3,3,0,3,2,1,1,1,1,7,3,3,7,0
256,00002493-03,3,3,1,3,2,1,1,1,1,7,3,3,7,0
257,00002493-04,3,3,1,3,2,1,1,1,1,7,3,3,7,0
258,00002493-05,3,3,1,3,2,1,1,1,1,7,3,3,7,0
259,00002493-06,3,3,1,3,4,1,1,0,1,7,3,3,7,0
260,00002494-01,3,3,0,0,2,0,1,1,1,1,3,5,3,0
261,00002565-01,1,3,0,1,2,0,1,1,1,1,3,3,3,0
262,00002565-02,3,3,0,0,4,1,1,1,1,7,3,3,7,0
263,00002565-04,3,3,0,3,4,1,1,1,1,1,3,3,3,0
264,00002661-01,3,3,0,3,2,1,1,1,1,7,3,1,7,0
265,00002888-01,1,3,0,0,2,1,1,1,1,7,3,1,7,0
266,00002898-04,1,3,0,3,2,1,1,1,1,7,3,3,7,0
267,00002898-05,3,3,0,1,2,1,1,1,1,7,3,3,7,0
268,00002898-08,3,3,0,3,2,1,1,1,1,7,3,3,7,0
269,00002898-09,3,3,0,3,2,1,1,1,1,7,3,3,7,0
270,00002898-10,1,3,0,1,2,1,1,1,1,7,3,3,7,0
271,00003063-01,1,3,0,0,2,1,1,1,1,7,3,3,7,0
272,00003083-01,1,3,0,3,6,1,1,1,1,1,3,3,3,0
273,00003290-01,3,3,0,3,2,1,1,1,1,7,1,6,7,0
274,00003301-01,3,3,0,3,2,1,1,1,1,7,3,3,7,0
275,00003301-02,3,3,0,3,2,0,1,1,1,2,3,3,3,0
276,00003327-01,3,3,0,3,2,1,1,1,1,1,3,1,3,0
277,00003356-01,1,3,1,0,2,1,1,1,1,7,3,1,7,0
278,00003461-01,1,3,1,3,2,1,1,1,1,7,1,1,7,0
279,00003462-01,3,3,1,3,2,1,1,1,1,7,1,1,7,0
280,00003517-01,0,3,0,3,2,1,1,1,1,7,3,1,7,0
281,00003519-01,1,3,0,3,2,1,1,1,1,7,6,6,7,0
282,00003564-01,1,3,0,0,2,1,1,1,1,7,3,1,7,0
283,00003594-04,1,3,0,3,2,1,1,1,1,7,3,3,7,0
284,00003594-05,0,3,0,3,2,1,1,1,1,7,3,3,7,0
285,00003594-07,3,3,0,3,2,1,1,1,1,7,3,3,7,0
286,00003612-01,1,3,0,3,2,1,1,1,1,7,3,3,7,0
287,00003612-02,3,3,0,3,4,1,1,1,1,7,6,3,7,0
288,00003612-03,1,3,0,3,2,1,1,1,1,7,3,3,7,0
289,00003612-11,1,3,0,3,2,1,1,1,1,7,3,3,7,0
290,00003612-12,1,3,0,3,4,1,1,1,1,7,0,3,7,0
291,00003612-13,1,3,0,3,0,1,1,1,1,7,2,3,7,0
292,00003612-14,1,3,0,3,2,1,1,1,1,7,3,3,7,0
293,00003683-05,1,3,0,3,2,1,1,1,1,7,3,3,7,0
294,00003702-01,1,3,0,0,2,1,1,1,1,7,3,0,7,0
295,00003872-01,3,3,0,3,2,1,1,1,1,1,3,3,3,0
296,00003872-04,3,3,1,3,2,0,1,1,1,1,3,3,3,0
297,00004045-01,3,2,1,3,4,1,1,0,0,7,3,3,7,0
298,00004045-03,3,3,1,3,2,1,1,1,1,7,3,3,7,0
299,00004045-04,3,3,1,3,2,1,1,1,1,7,3,3,7,0
300,00004045-09,2,3,1,3,4,1,1,0,1,7,3,3,7,0
301,00004045-10,3,3,1,3,2,1,1,1,0,7,3,3,7,0
302,00004045-11,3,3,1,3,2,1,1,1,1,7,3,3,7,0
303,00004045-12,3,3,1,3,2,1,1,1,1,7,3,3,7,0
304,00004100-01,1,2,0,3,2,1,1,1,1,7,3,5,7,0
305,00004225-01,1,2,0,3,2,1,1,1,1,7,3,5,7,0
306,00004359-01,3,3,0,3,0,1,1,1,1,7,3,1,7,0
307,00004555-01,1,3,1,3,2,1,1,1,1,7,3,3,7,0
308,00004590-01,1,3,0,3,0,1,1,1,1,7,3,1,7,0
309,00004767-01,1,2,0,3,2,1,1,1,1,7,3,3,7,0
310,00004767-02,1,2,0,3,2,1,1,1,1,7,3,3,7,0
311,00004788-01,3,3,1,3,2,1,1,1,0,7,3,3,7,0
312,00004788-03,3,3,1,3,2,1,1,1,0,7,3,4,7,0
313,00004789-06,1,3,0,3,2,1,1,1,1,7,3,6,7,0
314,00005132-01,1,3,0,3,2,1,1,1,1,7,3,1,7,0
315,00005193-01,1,3,0,3,2,1,1,1,1,7,3,3,7,0
316,00005213-01,1,3,0,3,6,1,1,1,1,1,3,3,4,0
317,00005213-02,3,3,0,3,2,1,1,1,1,7,3,3,7,0
318,00005213-03,3,3,0,0,2,1,1,1,1,7,3,3,7,0
319,00005213-04,3,3,0,3,2,1,1,1,1,7,3,3,7,0
320,00005213-05,3,3,0,3,2,1,1,1,1,7,3,3,7,0
321,00005213-06,3,3,0,3,2,1,1,1,1,7,3,3,7,0
322,00005249-01,1,3,0,3,2,1,1,1,0,7,3,3,7,0
323,00005256-01,3,3,0,0,2,1,1,1,1,1,3,1,1,0
324,00005313-01,3,3,0,3,2,1,1,1,1,7,1,1,7,0
325,00005468-04,1,3,0,0,2,1,1,1,1,7,3,3,7,0
326,00005468-05,1,3,0,0,2,1,1,1,1,7,3,3,7,0
327,00005468-06,1,3,0,0,2,1,1,1,1,7,3,3,7,0
328,00005545-01,3,3,0,3,4,0,1,1,1,2,3,3,5,0
329,00005679-01,2,3,2,3,2,1,1,1,1,7,3,5,7,0
330,00005679-02,0,3,1,3,2,1,1,1,6,7,3,5,7,0
331,00005690-02,1,3,0,3,2,1,1,1,1,7,1,1,7,0
332,00005742-01,1,3,0,3,2,1,1,1,1,7,3,6,7,0
333,00006039-01,2,3,1,3,4,1,1,1,1,7,3,3,7,0
334,00006039-02,3,3,1,3,2,0,1,1,1,0,3,3,3,0
335,00006039-03,3,3,1,3,2,0,1,1,1,0,3,3,3,0
336,00006039-06,3,3,1,3,2,0,1,1,1,0,3,3,3,0
337,00006039-07,4,3,2,3,6,1,1,1,1,7,3,3,7,0
338,00006079-01,1,3,0,3,2,1,1,1,1,7,3,5,7,0
339,00006081-01,3,3,0,3,2,1,1,1,1,7,6,5,7,0
340,00006141-01,3,3,0,3,2,1,1,1,1,7,3,4,7,0
341,00006187-01,1,3,0,3,2,1,1,1,1,7,1,1,7,0
342,00006292-06,1,3,0,3,2,1,1,1,1,7,3,5,7,0
343,00006351-01,3,3,1,3,2,1,1,1,1,7,3,1,7,0
344,00006428-01,3,3,1,3,2,1,1,1,1,7,1,5,7,0
345,00006469-01,1,3,1,3,2,1,1,1,1,7,1,6,7,0
346,00006493-01,1,3,0,3,2,1,1,1,1,7,3,3,7,0
347,00006535-01,3,3,1,3,2,1,1,1,1,7,3,3,7,0
348,00006535-02,3,3,1,3,2,0,1,1,1,1,3,3,3,0
349,00006535-03,3,3,1,3,2,1,1,1,1,7,3,3,7,0
350,00006535-04,3,3,1,3,2,0,1,1,1,1,3,3,3,0
351,00006535-05,3,3,1,3,2,1,1,1,1,7,3,3,7,0
352,00006535-06,3,3,1,3,6,0,1,1,1,1,3,3,3,0
353,00006535-08,3,3,1,3,2,1,1,1,1,7,3,3,7,0
354,00006535-09,3,3,1,3,2,1,1,1,1,7,3,3,7,0
355,00006535-10,3,3,1,3,2,0,1,1,1,1,3,3,3,0
356,00006600-03,3,3,0,3,2,0,1,1,1,1,3,3,4,0
357,00006617-02,3,3,0,3,4,1,1,1,1,7,4,3,7,0
358,00006688-01,1,3,1,3,2,1,1,1,1,7,3,3,7,0
359,00006688-02,1,3,0,3,2,1,1,1,1,7,3,3,7,0
360,00006688-03,3,3,1,3,2,0,1,1,1,0,3,3,3,0
361,00006688-09,3,3,0,3,2,0,1,1,1,0,3,3,3,0
362,00006688-10,3,3,1,3,2,0,1,1,1,0,3,3,3,0
363,00006688-11,1,3,0,3,2,1,1,1,1,7,3,3,7,0
364,00006688-15,0,3,0,3,2,1,1,2,1,7,3,3,7,0
365,00006693-01,1,3,0,3,2,1,1,1,1,7,3,6,7,0
366,00006697-01,1,3,2,3,6,2,2,1,1,7,3,3,7,0
367,00006749-01,1,3,0,3,0,1,1,1,1,7,1,1,7,0
368,00006789-01,3,3,0,3,2,0,1,1,1,1,3,3,3,0
369,00006804-01,1,3,1,3,2,1,1,1,1,7,3,3,7,0
370,00006826-01,3,3,0,3,2,1,1,1,1,1,3,5,3,0
371,00006826-02,3,3,0,3,2,0,1,1,1,1,3,5,5,0
372,00006826-03,3,3,0,3,2,0,1,1,1,1,3,5,5,0
373,00006830-05,1,3,0,3,2,1,1,1,1,7,3,3,7,0
374,00006830-06,3,3,0,0,6,1,1,1,1,1,3,3,4,0
375,00006830-08,3,3,1,0,2,0,1,1,1,1,3,3,3,0
376,00006830-09,3,3,0,3,4,0,1,1,1,0,4,3,3,0
377,00006840-01,1,3,0,3,2,1,1,1,1,7,3,6,7,0
378,00006856-01,3,2,0,3,2,0,1,1,1,1,3,3,3,0
379,00006856-02,3,3,0,0,2,0,1,1,1,0,3,3,3,0
380,00006856-03,3,3,0,0,2,0,1,1,1,0,3,3,3,0
381,00006856-05,3,3,0,0,2,0,1,1,1,0,3,3,3,0
382,00006886-01,3,3,0,3,2,1,1,1,1,7,3,3,7,0
383,00006908-01,2,3,1,0,4,1,1,1,1,1,3,5,5,0
